ano_idx,exp_subspace
0,[0]
1,[0]
2,[0]
3,[0]
4,[0]
5,[0]
6,[0]
7,[0]
8,[0]
9,[0]
10,[0]
11,[0]
12,[0]
13,[0]
14,[0]
15,[0]
16,[0]
17,[0]
18,[0]
19,[0]
20,[0]
21,[0]
22,[0]
23,[0]
24,[0]
25,[0]
26,[0]
27,[0]
28,[0]
29,[0]
30,[0]
31,[0]
32,[0]
33,[0]
34,[0]
35,[0]
36,[0]
37,[0]
38,[0]
39,[0]
40,[0]
41,[0]
42,[0]
43,[0]
44,[0]
45,[0]
46,[0]
47,[0]
48,[0]
49,[0]
50,[0]
51,[0]
52,[0]
53,[0]
54,[0]
55,[0]
56,[0]
57,[0]
58,[0]
59,[0]
60,[0]
61,[0]
62,[0]
63,[0]
64,[0]
65,[0]
66,[0]
67,[0]
68,[0]
69,[0]
70,[0]
71,[0]
72,[0]
73,[0]
4329,[0]
4331,[0]
4332,[0]
4340,[0]
4342,[0]
4344,[0]
4347,[0]
4349,[0]
4358,[0]
4362,[0]
4363,[0]
4364,[0]
4369,[0]
4372,[0]
4374,[0]
4375,[0]
4376,[0]
4381,[0]
4383,[0]
4385,[0]
4386,[0]
4387,[0]
4390,[0]
4394,[0]
4397,[0]
4401,[0]
4403,[0]
4404,[0]
4406,[0]
4408,[0]
4409,[0]
4410,[0]
4412,[0]
4413,[0]
4415,[0]
4419,[0]
4423,[0]
4427,[0]
4429,[0]
4430,[0]
4431,[0]
4432,[0]
4434,[0]
4435,[0]
4436,[0]
4437,[0]
4438,[0]
4439,[0]
4440,[0]
4441,[0]
4442,[0]
4443,[0]
4444,[0]
4445,[0]
4452,[0]
4456,[0]
4459,[0]
4460,[0]
4461,[0]
4462,[0]
4463,[0]
4469,[0]
4471,[0]
4474,[0]
4475,[0]
4478,[0]
4485,[0]
4486,[0]
4487,[0]
4490,[0]
4498,[0]
4499,[0]
4500,[0]
4502,[0]
4508,[0]
4511,[0]
4512,[0]
4513,[0]
4514,[0]
4515,[0]
4517,[0]
4518,[0]
4519,[0]
4520,[0]
4521,[0]
4522,[0]
4523,[0]
4525,[0]
4527,[0]
4528,[0]
4532,[0]
4533,[0]
4535,[0]
4542,[0]
4543,[0]
4544,[0]
4546,[0]
4547,[0]
4548,[0]
4549,[0]
4550,[0]
4556,[0]
4557,[0]
4560,[0]
4561,[0]
4562,[0]
4563,[0]
4568,[0]
4569,[0]
4570,[0]
4572,[0]
4573,[0]
4575,[0]
4576,[0]
4580,[0]
4582,[0]
4583,[0]
4589,[0]
4590,[0]
4591,[0]
4592,[0]
4593,[0]
4594,[0]
4596,[0]
4598,[0]
4599,[0]
4600,[0]
4603,[0]
4608,[0]
4611,[0]
4612,[0]
4613,[0]
4614,[0]
4618,[0]
4619,[0]
4621,[0]
4622,[0]
4626,[0]
4630,[0]
4634,[0]
4635,[0]
4636,[0]
4637,[0]
4638,[0]
4641,[0]
4642,[0]
4643,[0]
4644,[0]
4645,[0]
4647,[0]
4648,[0]
4650,[0]
4651,[0]
4656,[0]
4658,[0]
4661,[0]
4662,[0]
4667,[0]
4668,[0]
4669,[0]
4670,[0]
4671,[0]
4677,[0]
4678,[0]
4679,[0]
4680,[0]
4681,[0]
4682,[0]
4683,[0]
4686,[0]
4687,[0]
4690,[0]
4694,[0]
4699,[0]
4700,[0]
4702,[0]
4706,[0]
4707,[0]
4708,[0]
4709,[0]
4710,[0]
4727,[0]
4734,[0]
