ano_idx,exp_subspace
0,[4]
1,"[0, 4]"
2,"[0, 4]"
3,"[3, 4]"
4,"[0, 3]"
5,"[0, 4]"
6,"[0, 4]"
7,"[1, 2, 3, 4]"
8,"[0, 4]"
9,"[1, 2, 3, 4]"
10,"[0, 4]"
11,"[0, 4]"
12,[0]
13,"[0, 4]"
14,"[1, 3]"
15,"[0, 3]"
16,"[0, 4]"
17,"[0, 4]"
18,"[0, 3]"
19,[0]
20,"[0, 4]"
21,"[2, 3, 4]"
22,"[3, 4]"
23,"[0, 4]"
24,"[0, 3, 4]"
25,"[0, 4]"
26,[4]
27,"[3, 4]"
28,"[0, 3]"
29,"[3, 4]"
30,[3]
31,"[0, 4]"
32,"[3, 4]"
33,"[0, 3, 4]"
34,"[3, 4]"
35,[0]
36,"[3, 4]"
37,"[1, 2, 3, 4]"
38,"[0, 4]"
39,"[0, 1, 2, 3]"
40,"[0, 4]"
41,[4]
42,[3]
43,"[0, 3, 4]"
44,"[0, 4]"
45,"[0, 4]"
46,"[0, 4]"
47,"[0, 2, 3]"
48,"[0, 4]"
49,[4]
50,"[0, 4]"
51,"[0, 4]"
52,"[0, 4]"
53,"[0, 4]"
54,"[0, 4]"
55,"[0, 4]"
56,"[0, 4]"
57,"[0, 4]"
58,"[0, 4]"
59,"[0, 4]"
60,"[0, 4]"
61,"[0, 4]"
62,"[0, 4]"
63,"[0, 4]"
64,"[0, 4]"
65,"[2, 3]"
66,"[2, 3]"
67,"[0, 4]"
68,"[0, 4]"
69,"[0, 4]"
70,[3]
71,"[2, 3, 4]"
72,"[0, 4]"
73,"[0, 4]"
4329,"[0, 4]"
4331,"[0, 4]"
4332,"[0, 4]"
4340,"[0, 3, 4]"
4342,"[0, 4]"
4344,"[0, 4]"
4347,"[0, 3]"
4349,"[0, 4]"
4358,"[3, 4]"
4362,"[0, 4]"
4363,"[0, 4]"
4364,"[1, 2, 3, 4]"
4369,"[3, 4]"
4372,"[0, 4]"
4374,[4]
4375,"[0, 4]"
4376,"[0, 4]"
4381,[0]
4383,"[0, 3]"
4385,"[0, 4]"
4386,"[0, 3]"
4387,"[0, 4]"
4390,"[0, 4]"
4394,"[0, 3, 4]"
4397,"[2, 3]"
4401,"[0, 4]"
4403,[3]
4404,"[0, 3]"
4406,"[3, 4]"
4408,"[0, 4]"
4409,"[2, 3]"
4410,"[0, 4]"
4412,"[0, 4]"
4413,[4]
4415,"[0, 4]"
4419,"[0, 4]"
4423,[0]
4427,"[3, 4]"
4429,"[1, 3]"
4430,"[0, 4]"
4431,"[0, 2, 3]"
4432,"[0, 4]"
4434,"[0, 3, 4]"
4435,[0]
4436,"[0, 4]"
4437,"[0, 4]"
4438,"[3, 4]"
4439,"[0, 4]"
4440,[0]
4441,"[0, 4]"
4442,"[0, 4]"
4443,"[0, 4]"
4444,"[0, 4]"
4445,"[0, 4]"
4452,"[0, 4]"
4456,"[0, 4]"
4459,"[3, 4]"
4460,"[0, 4]"
4461,"[0, 4]"
4462,"[0, 4]"
4463,"[0, 4]"
4469,"[0, 4]"
4471,"[0, 4]"
4474,"[2, 3, 4]"
4475,"[0, 4]"
4478,"[0, 4]"
4485,"[0, 3]"
4486,"[0, 3]"
4487,"[0, 4]"
4490,"[0, 3, 4]"
4498,"[0, 4]"
4499,"[0, 3]"
4500,"[0, 4]"
4502,"[0, 4]"
4508,"[0, 4]"
4511,"[0, 4]"
4512,[0]
4513,"[0, 3]"
4514,"[0, 4]"
4515,"[0, 4]"
4517,"[0, 4]"
4518,"[0, 3]"
4519,"[0, 4]"
4520,"[0, 4]"
4521,[3]
4522,"[0, 3]"
4523,"[0, 4]"
4525,"[0, 4]"
4527,"[0, 4]"
4528,"[0, 4]"
4532,"[1, 2, 3, 4]"
4533,"[0, 4]"
4535,"[3, 4]"
4542,[0]
4543,"[0, 4]"
4544,"[0, 4]"
4546,"[1, 3]"
4547,"[0, 4]"
4548,"[0, 4]"
4549,"[0, 4]"
4550,"[0, 4]"
4556,[0]
4557,"[0, 4]"
4560,"[0, 3, 4]"
4561,"[0, 4]"
4562,[0]
4563,"[0, 4]"
4568,"[0, 4]"
4569,"[0, 4]"
4570,"[3, 4]"
4572,"[0, 4]"
4573,[0]
4575,[3]
4576,"[1, 2, 3, 4]"
4580,"[0, 4]"
4582,"[0, 4]"
4583,"[0, 4]"
4589,[3]
4590,"[0, 4]"
4591,"[0, 3]"
4592,"[0, 4]"
4593,"[0, 4]"
4594,[0]
4596,[3]
4598,"[0, 3]"
4599,[0]
4600,"[0, 4]"
4603,"[3, 4]"
4608,"[0, 4]"
4611,"[3, 4]"
4612,[3]
4613,"[0, 4]"
4614,[4]
4618,[4]
4619,"[2, 3]"
4621,"[0, 4]"
4622,"[0, 4]"
4626,"[0, 4]"
4630,"[0, 4]"
4634,"[0, 4]"
4635,"[0, 4]"
4636,"[0, 4]"
4637,"[0, 3]"
4638,"[0, 4]"
4641,"[0, 4]"
4642,[4]
4643,"[0, 4]"
4644,[4]
4645,"[0, 4]"
4647,"[3, 4]"
4648,"[0, 4]"
4650,[0]
4651,"[0, 4]"
4656,"[0, 4]"
4658,"[0, 3, 4]"
4661,"[0, 4]"
4662,"[0, 4]"
4667,"[2, 3, 4]"
4668,"[0, 4]"
4669,"[3, 4]"
4670,"[0, 4]"
4671,"[0, 4]"
4677,"[1, 2, 3, 4]"
4678,[3]
4679,"[0, 4]"
4680,[0]
4681,"[1, 2, 3, 4]"
4682,"[0, 4]"
4683,"[0, 4]"
4686,[3]
4687,"[0, 4]"
4690,"[0, 3, 4]"
4694,"[0, 4]"
4699,"[0, 4]"
4700,"[0, 4]"
4702,"[0, 4]"
4706,[0]
4707,"[0, 4]"
4708,"[0, 2, 3]"
4709,"[0, 4]"
4710,"[0, 4]"
4727,[4]
4734,"[3, 4]"
