ano_idx,exp_subspace
0,[3]
1,[3]
2,"[0, 3]"
3,[3]
4,"[0, 3]"
5,[3]
6,[3]
7,[3]
8,"[0, 3, 4]"
9,"[0, 3]"
10,[3]
11,"[0, 3]"
12,"[0, 1, 2]"
13,"[0, 3]"
14,[3]
15,"[0, 1, 2]"
16,[3]
17,[3]
18,"[0, 3]"
19,[0]
20,[3]
21,[3]
22,[3]
23,"[0, 3]"
24,[3]
25,"[0, 3]"
26,"[0, 3]"
27,[3]
28,"[0, 3]"
29,[3]
30,[3]
31,[3]
32,[3]
33,[3]
34,[3]
35,[3]
36,[3]
37,"[0, 1, 2]"
38,[3]
39,[0]
40,"[0, 3]"
41,"[0, 3, 4]"
42,[3]
43,[0]
44,"[0, 3]"
45,[3]
46,[3]
47,[3]
48,"[0, 3]"
49,"[0, 1, 2]"
50,"[0, 1, 2]"
51,"[0, 1, 2]"
52,[3]
53,[3]
54,[3]
55,[3]
56,[3]
57,[3]
58,[3]
59,[3]
60,[3]
61,"[0, 3]"
62,[3]
63,"[0, 4]"
64,"[0, 1, 2]"
65,[3]
66,[3]
67,[3]
68,[3]
69,[3]
70,[3]
71,"[0, 3]"
72,"[0, 3]"
73,[3]
4329,[3]
4331,[3]
4332,[3]
4340,[3]
4342,[3]
4344,"[0, 4]"
4347,"[0, 4]"
4349,"[0, 3]"
4358,[3]
4362,"[0, 3]"
4363,[3]
4364,[3]
4369,[3]
4372,[3]
4374,[3]
4375,[3]
4376,[0]
4381,"[0, 4]"
4383,[3]
4385,[3]
4386,[3]
4387,[3]
4390,[3]
4394,[3]
4397,[3]
4401,[3]
4403,[3]
4404,[3]
4406,[3]
4408,[3]
4409,"[0, 1, 2]"
4410,[3]
4412,[3]
4413,"[0, 4]"
4415,"[0, 3]"
4419,[3]
4423,[3]
4427,[3]
4429,[3]
4430,"[0, 3]"
4431,[0]
4432,[3]
4434,"[0, 3]"
4435,[3]
4436,[0]
4437,[3]
4438,[3]
4439,[3]
4440,"[0, 4]"
4441,"[0, 3, 4]"
4442,[3]
4443,"[0, 3]"
4444,[3]
4445,[3]
4452,[3]
4456,[3]
4459,[3]
4460,[3]
4461,"[0, 3, 4]"
4462,"[0, 3]"
4463,"[0, 1, 2]"
4469,[0]
4471,"[0, 3]"
4474,[3]
4475,[3]
4478,[3]
4485,[3]
4486,"[0, 3]"
4487,[0]
4490,[3]
4498,[3]
4499,"[0, 3]"
4500,[3]
4502,"[0, 4]"
4508,"[0, 3]"
4511,"[0, 4]"
4512,[0]
4513,[3]
4514,"[0, 3]"
4515,"[0, 3]"
4517,[3]
4518,"[0, 3]"
4519,"[0, 3]"
4520,[3]
4521,[3]
4522,"[0, 3, 4]"
4523,[0]
4525,[3]
4527,[3]
4528,"[0, 1, 2]"
4532,"[0, 3]"
4533,"[0, 3]"
4535,[3]
4542,"[0, 3]"
4543,[0]
4544,"[0, 3]"
4546,[3]
4547,"[0, 3]"
4548,"[0, 1, 2]"
4549,"[0, 4]"
4550,"[0, 4]"
4556,[3]
4557,"[0, 3]"
4560,"[0, 1, 2]"
4561,"[0, 4]"
4562,"[0, 3]"
4563,"[0, 3, 4]"
4568,[3]
4569,[3]
4570,[3]
4572,"[0, 3, 4]"
4573,"[0, 1, 2]"
4575,"[0, 1, 2]"
4576,[3]
4580,"[0, 3]"
4582,[0]
4583,[3]
4589,"[0, 1, 2]"
4590,[3]
4591,"[0, 3]"
4592,[4]
4593,"[0, 4]"
4594,"[0, 3, 4]"
4596,[3]
4598,"[0, 3]"
4599,[3]
4600,[0]
4603,[3]
4608,[3]
4611,[3]
4612,"[0, 1, 2]"
4613,[3]
4614,"[0, 3]"
4618,[3]
4619,"[0, 1, 2]"
4621,"[0, 1, 2]"
4622,[3]
4626,[0]
4630,[3]
4634,[3]
4635,"[0, 1, 2]"
4636,"[0, 4]"
4637,"[0, 3, 4]"
4638,[0]
4641,"[0, 1, 2]"
4642,[3]
4643,"[0, 3]"
4644,[3]
4645,[3]
4647,[3]
4648,[3]
4650,[3]
4651,[3]
4656,"[0, 3]"
4658,[3]
4661,[3]
4662,"[0, 3]"
4667,[3]
4668,"[0, 3]"
4669,[3]
4670,[3]
4671,[0]
4677,"[0, 3]"
4678,[0]
4679,"[0, 3]"
4680,"[0, 4]"
4681,[3]
4682,[3]
4683,[3]
4686,[3]
4687,[3]
4690,[3]
4694,"[0, 3]"
4699,"[0, 4]"
4700,"[0, 3]"
4702,"[0, 3]"
4706,"[0, 3, 4]"
4707,"[0, 1, 2]"
4708,[3]
4709,[3]
4710,"[0, 3]"
4727,"[0, 3]"
4734,[3]
