ano_idx,exp_subspace
0,"[0, 1, 2, 3, 4]"
1,"[0, 1, 2, 4]"
2,"[0, 1, 2, 3, 4]"
3,"[0, 1, 2, 3, 4]"
4,"[0, 1, 2, 3, 4]"
5,"[0, 2, 4]"
6,"[0, 1, 2, 3, 4]"
7,"[0, 3, 4]"
8,"[0, 3, 4]"
9,"[0, 1, 2, 3, 4]"
10,"[0, 3, 4]"
11,"[0, 1, 2, 3, 4]"
12,"[0, 1, 2, 4]"
13,"[0, 2, 3, 4]"
14,"[0, 1, 2, 3, 4]"
15,"[0, 2, 3, 4]"
16,"[0, 1, 2, 3, 4]"
17,"[0, 1, 2, 3, 4]"
18,"[0, 1, 2, 3, 4]"
19,"[0, 3, 4]"
20,"[0, 1, 2, 3, 4]"
21,"[0, 1, 2, 3, 4]"
22,"[0, 2, 3, 4]"
23,"[0, 3, 4]"
24,"[0, 1]"
25,"[0, 1, 2, 3, 4]"
26,"[0, 1, 2]"
27,"[0, 1]"
28,"[0, 1, 2, 4]"
29,"[0, 3, 4]"
30,"[0, 3, 4]"
31,"[0, 1, 2, 3, 4]"
32,"[0, 3, 4]"
33,"[0, 3]"
34,"[0, 2, 3, 4]"
35,"[0, 3, 4]"
36,"[0, 1, 2, 4]"
37,"[0, 1, 2, 3, 4]"
38,"[0, 1, 2, 3, 4]"
39,"[0, 1, 2, 3, 4]"
40,"[0, 3, 4]"
41,"[0, 1, 2, 3, 4]"
42,"[0, 1, 2, 3, 4]"
43,"[0, 1, 2, 3, 4]"
44,"[0, 1, 2, 3, 4]"
45,"[0, 1, 2, 3, 4]"
46,"[0, 1, 2, 3, 4]"
47,"[0, 1, 2, 3, 4]"
48,"[0, 1, 2, 4]"
49,"[0, 1, 2, 3, 4]"
50,"[0, 3, 4]"
51,"[0, 1, 2, 3, 4]"
52,"[0, 1, 2, 4]"
53,"[0, 1, 2, 3, 4]"
54,"[0, 1, 2, 4]"
55,"[0, 1, 2, 3, 4]"
56,"[0, 1, 2, 3, 4]"
57,"[1, 2, 4]"
58,"[0, 1, 2, 3, 4]"
59,"[1, 2, 4]"
60,"[0, 1, 2, 3, 4]"
61,"[0, 2, 3, 4]"
62,"[0, 3, 4]"
63,"[1, 2, 4]"
64,"[0, 1, 2, 3, 4]"
65,"[0, 1, 2, 3, 4]"
66,"[0, 3, 4]"
67,"[0, 1, 2, 3, 4]"
68,"[0, 1, 2, 3, 4]"
69,"[0, 1, 2, 4]"
70,"[0, 1, 2, 3, 4]"
71,"[0, 1, 2, 3, 4]"
72,"[0, 1, 2, 3, 4]"
73,"[0, 1, 2, 3, 4]"
4329,"[0, 1, 2, 3, 4]"
4331,"[0, 1, 2, 3, 4]"
4332,"[0, 1, 2, 3, 4]"
4340,"[0, 1, 2, 3, 4]"
4342,"[0, 3, 4]"
4344,"[0, 1, 2, 4]"
4347,"[0, 1, 2, 4]"
4349,"[0, 3]"
4358,"[0, 1, 2, 3, 4]"
4362,"[0, 3, 4]"
4363,"[0, 3, 4]"
4364,"[0, 3]"
4369,"[0, 2, 4]"
4372,"[0, 1, 2, 3, 4]"
4374,"[0, 2, 3, 4]"
4375,"[0, 1, 2, 3, 4]"
4376,"[0, 1, 2, 3, 4]"
4381,"[0, 1, 2, 4]"
4383,"[0, 1, 2, 3, 4]"
4385,"[0, 1, 2, 3, 4]"
4386,"[0, 3]"
4387,"[0, 1, 2, 3, 4]"
4390,"[0, 3, 4]"
4394,"[0, 1, 2, 3, 4]"
4397,"[0, 3, 4]"
4401,"[0, 1, 2, 3, 4]"
4403,"[0, 1, 2, 3, 4]"
4404,"[0, 3, 4]"
4406,"[0, 1, 2, 3, 4]"
4408,"[0, 3, 4]"
4409,"[0, 1, 2, 3, 4]"
4410,"[0, 1, 2, 3, 4]"
4412,"[0, 1, 2, 3, 4]"
4413,"[0, 1, 2, 3, 4]"
4415,"[0, 3, 4]"
4419,"[0, 2, 3, 4]"
4423,"[0, 1, 2, 3, 4]"
4427,"[0, 3, 4]"
4429,"[0, 1, 2]"
4430,"[0, 1, 2, 3, 4]"
4431,"[0, 3, 4]"
4432,"[0, 1, 2, 3, 4]"
4434,"[0, 3, 4]"
4435,"[0, 1, 2]"
4436,"[0, 3, 4]"
4437,"[0, 1, 2, 4]"
4438,"[0, 2, 3, 4]"
4439,"[0, 3]"
4440,"[0, 1, 2, 3, 4]"
4441,"[0, 3, 4]"
4442,"[0, 1, 2, 3, 4]"
4443,"[0, 1, 2, 3, 4]"
4444,"[0, 1, 2, 4]"
4445,"[0, 1, 2, 3, 4]"
4452,"[0, 1, 2, 3, 4]"
4456,"[0, 3, 4]"
4459,"[1, 2]"
4460,"[0, 1, 2, 3, 4]"
4461,"[0, 1, 2, 3, 4]"
4462,"[0, 2, 3, 4]"
4463,"[0, 1, 2, 3, 4]"
4469,"[0, 1, 2, 3, 4]"
4471,"[0, 1, 2, 3, 4]"
4474,"[0, 3, 4]"
4475,"[0, 1, 2, 3, 4]"
4478,"[0, 2, 3, 4]"
4485,"[0, 1, 2, 3, 4]"
4486,"[0, 2, 3, 4]"
4487,"[0, 1, 2, 3, 4]"
4490,"[0, 1, 2, 4]"
4498,"[0, 1, 2, 3, 4]"
4499,"[0, 1, 2, 3, 4]"
4500,"[0, 1, 2, 3, 4]"
4502,"[0, 1, 2, 3, 4]"
4508,"[0, 1, 2, 3, 4]"
4511,"[0, 1, 2, 3, 4]"
4512,"[0, 1, 2, 3, 4]"
4513,"[0, 3, 4]"
4514,"[0, 1, 2, 3, 4]"
4515,"[0, 3, 4]"
4517,"[0, 2, 3, 4]"
4518,"[0, 1, 2, 3, 4]"
4519,"[0, 1, 2, 3, 4]"
4520,"[0, 1, 2, 3, 4]"
4521,"[0, 3, 4]"
4522,"[0, 2, 4]"
4523,"[0, 1, 2, 3, 4]"
4525,"[0, 1, 2, 3, 4]"
4527,"[0, 1, 2, 3, 4]"
4528,"[0, 3]"
4532,"[0, 3, 4]"
4533,"[0, 1, 2, 3, 4]"
4535,"[0, 1, 2, 3, 4]"
4542,"[0, 1, 2, 3, 4]"
4543,"[0, 1, 2, 3, 4]"
4544,"[0, 1, 2, 3, 4]"
4546,"[0, 3, 4]"
4547,"[1, 2]"
4548,"[0, 2, 3, 4]"
4549,"[0, 2, 4]"
4550,"[0, 1, 2, 3, 4]"
4556,"[0, 1, 2, 3, 4]"
4557,"[0, 2, 3, 4]"
4560,"[0, 1, 2, 3, 4]"
4561,"[0, 1, 2]"
4562,"[0, 1, 2, 3, 4]"
4563,"[0, 1, 2, 3, 4]"
4568,"[0, 1, 2, 3, 4]"
4569,"[0, 3, 4]"
4570,"[0, 1, 2, 3, 4]"
4572,"[0, 1, 2, 3, 4]"
4573,"[0, 1, 2, 3, 4]"
4575,"[0, 3, 4]"
4576,"[0, 1, 2, 3, 4]"
4580,"[0, 3, 4]"
4582,"[0, 3, 4]"
4583,"[0, 3, 4]"
4589,"[0, 1, 2, 3, 4]"
4590,"[0, 1, 2, 4]"
4591,"[0, 1, 2, 3, 4]"
4592,"[0, 1, 2, 3, 4]"
4593,"[0, 1, 2, 3, 4]"
4594,"[0, 1, 2, 3, 4]"
4596,"[0, 3, 4]"
4598,"[0, 1, 2, 3, 4]"
4599,"[0, 3, 4]"
4600,"[0, 2, 3, 4]"
4603,"[0, 3, 4]"
4608,"[0, 3, 4]"
4611,"[0, 1, 2, 3, 4]"
4612,"[1, 2, 4]"
4613,"[0, 1, 2, 3, 4]"
4614,"[0, 3, 4]"
4618,"[0, 3]"
4619,"[0, 1, 2, 3, 4]"
4621,"[0, 1, 2, 4]"
4622,"[0, 1, 4]"
4626,"[0, 1, 2, 3, 4]"
4630,"[0, 1, 2, 3, 4]"
4634,"[0, 3, 4]"
4635,"[0, 1, 2, 3, 4]"
4636,"[0, 3, 4]"
4637,"[0, 1, 2, 4]"
4638,"[0, 1, 2, 3, 4]"
4641,"[0, 1, 2, 3, 4]"
4642,"[0, 3, 4]"
4643,"[0, 3, 4]"
4644,"[0, 1, 2, 3, 4]"
4645,"[1, 2, 4]"
4647,"[0, 1, 2, 3, 4]"
4648,"[0, 1, 2, 3, 4]"
4650,"[0, 3, 4]"
4651,"[0, 1, 2, 3, 4]"
4656,"[0, 2, 4]"
4658,"[0, 3, 4]"
4661,"[0, 3, 4]"
4662,"[0, 1, 2, 3, 4]"
4667,"[0, 1, 2, 3, 4]"
4668,"[0, 1, 2, 4]"
4669,"[0, 3, 4]"
4670,"[0, 3]"
4671,"[0, 3, 4]"
4677,"[1, 2, 4]"
4678,"[0, 1, 2, 3, 4]"
4679,"[0, 1, 2, 3, 4]"
4680,"[0, 1, 2, 3, 4]"
4681,"[0, 1, 2, 3, 4]"
4682,"[0, 1, 2, 3, 4]"
4683,"[0, 1, 2, 3, 4]"
4686,"[0, 3, 4]"
4687,"[0, 3, 4]"
4690,"[0, 3]"
4694,"[0, 3, 4]"
4699,"[0, 1, 2, 3, 4]"
4700,"[0, 1, 2]"
4702,"[0, 1, 2, 4]"
4706,"[0, 1, 2, 3, 4]"
4707,"[0, 1, 2, 3, 4]"
4708,"[0, 1, 2, 3, 4]"
4709,"[0, 1, 2, 3, 4]"
4710,"[0, 3, 4]"
4727,"[0, 3, 4]"
4734,"[0, 3, 4]"
