ano_idx,exp_subspace
19,[0]
27,[0]
105,[0]
115,[0]
116,[0]
147,[0]
208,[0]
289,[0]
387,[0]
406,[0]
429,[0]
517,[0]
519,[0]
544,[0]
568,[0]
600,[0]
639,[0]
686,[0]
794,[0]
838,[0]
860,[0]
964,[0]
1040,[0]
1042,[0]
1057,[0]
1142,"[0, 1]"
1209,"[0, 1]"
1212,[0]
1227,[0]
1268,"[1, 4, 5]"
1269,[0]
1275,"[0, 1]"
1336,"[4, 5]"
1465,[1]
1468,"[0, 1]"
1500,"[0, 2]"
1524,[1]
1620,"[0, 2, 4, 5, 6]"
1633,"[4, 5]"
1659,[1]
1705,"[4, 5]"
1706,[1]
1777,"[0, 1]"
1790,"[1, 4, 5]"
1808,[1]
1836,"[0, 5]"
1853,[1]
1867,[1]
1882,"[0, 2, 3, 4]"
1907,"[1, 4, 5]"
1916,"[1, 5]"
2075,"[1, 4, 5]"
2131,[1]
2136,[1]
2209,"[0, 2, 4, 5, 6]"
2236,[1]
2298,"[0, 1]"
2339,"[1, 5]"
2356,[0]
2374,"[0, 1]"
2382,[0]
2444,[2]
2503,[2]
2515,[0]
2588,[1]
2601,[0]
2628,[0]
2631,"[0, 1]"
2645,"[0, 1]"
2702,[0]
2703,[0]
2728,[1]
2774,"[2, 4, 5, 6]"
2931,[2]
2937,[0]
2945,[0]
3006,[0]
3075,[0]
3147,[0]
3164,[0]
3222,[0]
3274,[0]
3275,"[0, 1]"
3429,[0]
3476,[0]
3512,[0]
3518,[0]
3550,[0]
3562,[0]
3565,[0]
3589,[0]
3625,[0]
3679,[0]
