ano_idx,exp_subspace
19,"[2, 3, 4]"
27,"[0, 1]"
105,"[0, 1]"
115,"[1, 2, 5, 6]"
116,"[2, 3, 4]"
147,"[2, 3, 5]"
208,"[1, 2, 5, 6]"
289,"[2, 5, 6]"
387,"[0, 1, 4]"
406,"[0, 1, 4]"
429,"[0, 1, 4, 5]"
517,"[2, 3, 4]"
519,"[0, 1, 5]"
544,"[0, 1]"
568,"[0, 1, 5]"
600,"[0, 1, 6]"
639,"[0, 5]"
686,"[0, 1, 2, 3, 4, 6]"
794,"[1, 2, 5, 6]"
838,"[0, 1, 5]"
860,"[0, 1, 2, 3, 4, 5, 6]"
964,"[2, 3, 5]"
1040,"[0, 1, 4]"
1042,"[0, 1, 2, 3, 4, 6]"
1057,"[0, 3, 4, 5]"
1142,"[2, 3, 4]"
1209,"[2, 3, 4]"
1212,"[1, 2, 6]"
1227,"[1, 2, 3, 5]"
1268,"[2, 3, 5]"
1269,"[2, 3, 4]"
1275,"[2, 5, 6]"
1336,"[1, 2, 5, 6]"
1465,"[0, 2, 3, 4, 5, 6]"
1468,"[0, 1]"
1500,"[2, 3, 5]"
1524,"[1, 2]"
1620,"[2, 5]"
1633,"[2, 5, 6]"
1659,"[0, 1, 5]"
1705,"[1, 2, 6]"
1706,"[1, 2, 5, 6]"
1777,"[0, 1, 4]"
1790,"[0, 1, 2, 3, 4, 6]"
1808,"[2, 4]"
1836,"[2, 3, 5]"
1853,"[1, 2, 5, 6]"
1867,"[0, 1, 5]"
1882,"[0, 1, 2, 3, 4, 6]"
1907,"[2, 3, 4, 5]"
1916,"[0, 1, 5]"
2075,"[0, 1, 4]"
2131,"[0, 1, 5]"
2136,"[2, 4, 5]"
2209,"[0, 1, 2, 3, 4, 5, 6]"
2236,"[1, 2, 5, 6]"
2298,"[0, 1, 4]"
2339,"[0, 1, 5]"
2356,"[1, 2, 5, 6]"
2374,"[1, 2, 3, 4, 5]"
2382,"[2, 3, 4]"
2444,"[1, 2, 5, 6]"
2503,"[0, 2]"
2515,"[0, 1]"
2588,"[0, 1]"
2601,"[2, 6]"
2628,"[0, 2, 3, 4, 5, 6]"
2631,"[0, 1]"
2645,"[0, 1]"
2702,"[2, 3, 4]"
2703,"[2, 5, 6]"
2728,"[0, 1]"
2774,"[0, 1, 2, 3, 4, 5, 6]"
2931,"[1, 2]"
2937,"[1, 2, 4, 5]"
2945,"[2, 3, 4, 5]"
3006,"[0, 1]"
3075,"[2, 4]"
3147,"[2, 4]"
3164,"[2, 3, 4]"
3222,"[0, 1, 5]"
3274,"[2, 3, 4]"
3275,"[1, 2, 6]"
3429,"[1, 2, 5, 6]"
3476,"[2, 6]"
3512,"[2, 3, 5]"
3518,"[0, 1, 5]"
3550,"[0, 1, 2, 3, 4, 5, 6]"
3562,"[0, 2, 3, 4, 5, 6]"
3565,"[1, 2, 3, 5]"
3589,"[0, 4, 5, 6]"
3625,"[1, 2, 4, 5]"
3679,"[1, 2, 5, 6]"
