ano_idx,exp_subspace
5,[0]
9,[0]
12,[0]
15,[0]
16,[0]
20,[0]
21,[0]
22,[0]
23,[0]
24,[0]
26,[0]
27,[0]
29,[0]
32,[0]
34,[0]
37,[0]
50,[0]
53,[0]
54,[0]
55,[0]
56,[0]
57,[0]
58,[0]
64,[0]
65,[0]
66,[0]
67,[0]
68,[0]
70,[0]
71,[0]
89,[0]
90,[0]
92,[0]
94,[0]
99,[0]
102,[0]
104,[0]
106,[0]
107,[0]
108,[0]
109,[0]
129,[0]
130,[0]
131,[0]
132,[0]
135,[0]
138,[0]
140,[0]
144,[0]
146,[0]
147,[0]
151,[0]
153,[0]
156,[0]
160,[0]
161,[0]
162,[0]
171,[0]
172,[0]
173,[0]
179,[0]
180,[0]
181,[0]
182,[0]
183,[0]
184,[0]
185,[0]
186,[0]
187,[0]
188,[0]
189,[0]
190,[0]
192,[0]
213,[0]
214,[0]
215,[0]
218,[0]
223,[0]
224,[0]
235,[0]
236,[0]
237,[0]
243,[0]
244,[0]
245,[0]
261,[0]
262,[0]
270,[0]
273,[0]
277,[0]
278,[0]
281,[0]
282,[0]
283,[0]
284,[0]
289,[0]
291,[0]
293,[0]
297,[0]
299,[0]
306,[0]
307,[0]
308,[0]
309,[0]
310,[0]
311,[0]
312,[0]
313,[0]
321,[0]
322,[0]
325,[0]
327,[0]
328,[0]
329,[0]
331,[0]
333,[0]
334,[0]
336,[0]
337,[0]
338,[0]
342,[0]
346,[0]
348,[0]
349,[0]
350,[0]
351,[0]
352,[0]
353,[0]
354,[0]
355,[0]
362,[0]
364,[0]
365,[0]
366,[0]
368,[0]
369,[0]
370,[0]
371,[0]
372,[0]
374,[0]
377,[0]
379,[0]
380,[0]
381,[0]
382,[0]
384,[0]
387,[0]
388,[0]
391,[0]
396,[0]
400,[0]
401,[0]
403,[0]
404,[0]
413,[0]
424,[0]
426,[0]
429,[0]
430,[0]
434,[0]
440,[0]
441,[0]
453,[0]
456,[0]
464,[0]
467,[0]
470,[0]
482,[0]
486,[0]
491,[0]
492,[0]
500,[0]
501,[0]
503,[0]
504,[0]
509,[0]
517,[0]
523,[0]
524,[0]
532,[0]
534,[0]
540,[0]
542,[0]
546,[0]
557,[0]
562,[0]
572,[0]
573,[0]
574,[0]
577,[0]
591,[0]
634,[0]
654,[0]
658,[0]
659,[0]
660,[0]
664,[0]
666,[0]
