ano_idx,exp_subspace
5,"[1, 5, 7]"
9,"[0, 2, 3, 6, 7]"
12,"[0, 1, 3, 7]"
15,"[0, 1, 3]"
16,"[0, 1, 7]"
20,"[0, 1, 3]"
21,"[0, 1]"
22,"[0, 2]"
23,"[1, 3]"
24,"[1, 3]"
26,"[0, 1]"
27,"[0, 2, 3]"
29,"[0, 1]"
32,"[1, 7]"
34,"[0, 1]"
37,"[0, 2]"
50,"[1, 3]"
53,"[0, 2, 3]"
54,"[0, 2]"
55,"[0, 2]"
56,"[0, 3]"
57,"[0, 1, 3]"
58,"[0, 1]"
64,"[0, 1, 2, 3]"
65,"[0, 1, 2]"
66,"[0, 1, 3, 7]"
67,"[0, 1, 3]"
68,"[0, 1, 2, 3]"
70,"[1, 2]"
71,"[0, 1, 3]"
89,"[0, 1, 3, 7]"
90,"[0, 2, 3]"
92,"[0, 2]"
94,"[0, 1, 3]"
99,"[0, 2, 3, 6, 7]"
102,"[1, 3, 6, 7]"
104,"[1, 3]"
106,"[0, 1]"
107,"[0, 1]"
108,"[0, 1, 3, 6]"
109,[0]
129,"[1, 3, 7]"
130,"[0, 1, 2]"
131,"[1, 3]"
132,"[0, 2, 3, 6, 7]"
135,"[0, 1]"
138,[0]
140,"[0, 1, 3]"
144,"[1, 2]"
146,"[0, 1, 3]"
147,"[0, 1, 2, 3, 7]"
151,"[0, 1, 7]"
153,"[0, 1, 7]"
156,"[0, 1, 3, 7]"
160,"[2, 7]"
161,"[2, 7]"
162,[0]
171,"[1, 2]"
172,"[0, 1]"
173,[0]
179,"[1, 3]"
180,[0]
181,"[0, 1, 2, 7]"
182,"[0, 1, 2, 7]"
183,"[0, 1, 3]"
184,"[0, 1, 2]"
185,"[0, 1]"
186,"[0, 1]"
187,"[0, 2, 3, 6, 7]"
188,"[0, 1, 3]"
189,"[0, 1, 3, 7]"
190,"[0, 2]"
192,"[0, 1, 2, 3]"
213,"[0, 1, 3]"
214,"[0, 1]"
215,"[0, 1, 2, 3]"
218,"[0, 1]"
223,"[0, 1, 3, 6, 7]"
224,"[0, 1, 3, 6, 7]"
235,"[0, 1, 2]"
236,"[0, 1, 2, 3]"
237,"[0, 1, 2, 3]"
243,"[0, 1, 3, 7]"
244,[0]
245,"[0, 1, 3]"
261,"[0, 1, 2]"
262,"[0, 1]"
270,"[0, 1]"
273,"[1, 3]"
277,"[0, 1, 2]"
278,"[1, 2, 7]"
281,"[0, 2]"
282,"[0, 3, 7]"
283,"[0, 1, 3]"
284,"[0, 1, 3]"
289,"[0, 1, 3]"
291,"[0, 1]"
293,"[0, 1, 2]"
297,"[0, 1, 3]"
299,"[1, 2]"
306,[4]
307,"[0, 1, 3]"
308,"[1, 2]"
309,"[0, 2, 3]"
310,[0]
311,"[0, 1, 6]"
312,"[0, 1]"
313,"[0, 1, 2, 7]"
321,"[0, 1]"
322,"[0, 1]"
325,"[0, 1]"
327,"[0, 1, 3]"
328,"[0, 1]"
329,"[0, 1, 3]"
331,"[0, 2, 3]"
333,"[0, 1, 3]"
334,"[0, 1, 3]"
336,"[0, 1, 3, 7]"
337,"[0, 1, 2]"
338,"[0, 1]"
342,"[0, 1]"
346,"[0, 1]"
348,"[1, 2]"
349,"[0, 1, 7]"
350,"[0, 1]"
351,[0]
352,"[1, 3]"
353,"[0, 1, 2]"
