ano_idx,exp_subspace
5,"[2, 4]"
9,"[0, 4]"
12,"[0, 4]"
15,"[2, 4]"
16,"[0, 4]"
20,"[0, 4]"
21,"[4, 6]"
22,"[0, 4]"
23,"[1, 4]"
24,"[1, 4]"
26,"[0, 4]"
27,"[0, 4]"
29,"[0, 4]"
32,"[0, 4]"
34,"[0, 4]"
37,"[0, 4]"
50,"[0, 4]"
53,"[0, 4]"
54,"[0, 4]"
55,"[0, 4]"
56,"[2, 4]"
57,"[0, 4]"
58,"[0, 4]"
64,"[0, 4]"
65,"[1, 4]"
66,"[0, 4]"
67,"[0, 4]"
68,"[0, 4]"
70,"[0, 4]"
71,"[2, 4]"
89,"[0, 4]"
90,"[0, 4]"
92,"[0, 4]"
94,"[1, 4]"
99,"[0, 4]"
102,"[0, 4]"
104,"[0, 4]"
106,"[0, 4]"
107,"[0, 4]"
108,"[0, 4]"
109,"[0, 4]"
129,"[3, 4]"
130,"[1, 4]"
131,"[0, 4]"
132,"[2, 4]"
135,"[0, 4]"
138,"[0, 4]"
140,"[1, 4]"
144,"[1, 4]"
146,"[0, 4]"
147,"[3, 4]"
151,"[1, 4]"
153,"[0, 4]"
156,"[0, 4]"
160,"[0, 4]"
161,"[0, 4]"
162,"[0, 4]"
171,"[0, 4]"
172,"[1, 4]"
173,"[0, 4]"
179,"[3, 4]"
180,"[0, 4]"
181,"[1, 2, 3, 6, 7]"
182,"[0, 4]"
183,"[1, 4]"
184,"[0, 4]"
185,"[2, 4]"
186,"[1, 4]"
187,"[2, 4]"
188,"[0, 4]"
189,"[0, 4]"
190,"[0, 4]"
192,"[3, 4]"
213,"[0, 4]"
214,"[1, 4]"
215,"[0, 4]"
218,"[0, 4]"
223,"[0, 4]"
224,"[0, 4]"
235,"[2, 4]"
236,"[0, 4]"
237,"[0, 4]"
243,"[0, 4]"
244,"[0, 4]"
245,"[1, 4]"
261,"[0, 4]"
262,"[0, 4]"
270,"[3, 4]"
273,"[0, 4]"
277,"[1, 4]"
278,"[0, 4]"
281,"[0, 4]"
282,"[0, 4]"
283,"[0, 4]"
284,"[0, 4]"
289,"[0, 4]"
291,"[0, 4]"
293,"[0, 4]"
297,"[1, 4]"
299,"[0, 4]"
306,"[0, 2, 3, 4, 6, 7]"
307,"[0, 1, 2, 3, 6, 7]"
308,"[0, 4]"
309,"[0, 4]"
310,"[0, 1, 3, 5, 7]"
311,"[0, 4]"
312,"[1, 2, 3, 6, 7]"
313,"[0, 4]"
321,"[2, 4]"
322,"[1, 4]"
325,"[0, 4]"
327,"[0, 4]"
328,"[0, 4]"
329,"[1, 4]"
331,"[0, 4]"
333,"[0, 2, 3]"
334,"[3, 4]"
336,"[0, 4]"
337,"[0, 4]"
338,"[0, 4]"
342,"[3, 4]"
346,"[0, 4]"
348,"[0, 4]"
349,"[2, 4]"
350,"[0, 4]"
351,"[1, 4]"
352,"[0, 4]"
353,"[1, 4]"
354,"[0, 4]"
355,"[0, 4]"
362,"[4, 6]"
364,"[0, 4]"
365,"[0, 4]"
366,"[0, 4]"
368,"[0, 4]"
369,"[3, 4]"
370,"[1, 4]"
371,"[0, 4]"
372,"[2, 4]"
374,"[3, 4]"
377,"[1, 4]"
379,"[0, 4]"
380,"[4, 6]"
381,"[1, 4]"
382,"[0, 4]"
384,"[0, 4]"
387,"[1, 4]"
388,"[4, 6]"
391,"[0, 4]"
396,"[0, 4]"
400,"[0, 4]"
401,"[0, 1, 2, 5, 6, 7]"
403,"[0, 4]"
404,"[1, 4]"
413,"[0, 4]"
424,"[0, 4]"
426,"[1, 4]"
429,"[2, 4]"
430,"[2, 4]"
434,"[1, 4]"
440,"[1, 4]"
441,"[3, 4]"
453,"[4, 6]"
456,"[1, 4]"
464,"[4, 6]"
467,"[4, 6]"
470,"[0, 4]"
482,"[0, 4]"
486,"[0, 4]"
491,"[0, 4]"
492,"[0, 4]"
500,"[0, 3, 4]"
501,"[0, 3]"
503,"[1, 2, 3]"
504,"[0, 4]"
509,"[1, 4]"
517,"[0, 4]"
523,"[2, 4]"
524,"[0, 4]"
532,"[1, 4]"
534,"[1, 4]"
540,"[4, 6]"
542,"[2, 4]"
546,"[0, 4]"
557,"[0, 4]"
562,"[4, 6]"
572,"[0, 4]"
573,"[0, 4]"
574,"[0, 4]"
577,"[0, 4]"
591,"[0, 1, 3, 6]"
634,"[0, 4]"
654,"[0, 4]"
658,"[1, 4]"
659,"[0, 4, 6]"
660,"[0, 2, 3, 5, 7]"
664,"[0, 4]"
666,"[2, 4]"
671,"[0, 4]"
674,"[4, 6]"
675,"[0, 4]"
686,"[0, 4]"
687,"[4, 6]"
689,"[4, 6]"
697,"[0, 4]"
721,"[0, 4]"
722,"[0, 4]"
724,"[0, 4]"
729,"[0, 4]"
733,"[1, 4]"
734,"[1, 4]"
735,"[1, 4]"
736,"[0, 4]"
737,"[0, 4]"
738,"[4, 6]"
745,"[1, 4]"
762,"[0, 4]"
763,"[0, 4]"
764,"[0, 1, 2, 3, 4, 5, 7]"
765,"[0, 4]"
767,"[1, 4]"
768,"[0, 4]"
769,"[1, 4]"
770,"[0, 4]"
774,"[0, 4]"
791,"[0, 4]"
795,"[0, 4]"
815,"[0, 4]"
817,"[1, 4]"
821,"[0, 4]"
822,"[0, 2, 3, 5, 6, 7]"
823,"[0, 4]"
824,"[0, 4]"
825,"[0, 4]"
826,"[0, 4]"
829,"[0, 4]"
830,"[1, 4]"
845,"[0, 4]"
846,"[0, 4]"
847,"[2, 4]"
848,"[0, 4]"
849,"[0, 4]"
853,"[0, 4]"
854,"[0, 4]"
856,"[0, 4]"
857,"[1, 4]"
858,"[0, 4]"
863,"[4, 6]"
864,"[1, 4]"
865,"[4, 6]"
893,"[0, 4]"
894,"[0, 4]"
896,"[1, 4]"
897,"[4, 6]"
915,"[1, 4]"
916,"[0, 4]"
922,"[0, 4]"
928,"[0, 4]"
929,"[1, 4]"
930,"[0, 4]"
931,"[0, 4]"
932,"[0, 4]"
933,"[1, 4]"
934,"[1, 4]"
935,"[1, 4]"
936,"[1, 4]"
937,"[1, 4]"
961,"[1, 4]"
962,"[2, 4]"
963,"[2, 4]"
964,"[0, 4]"
965,"[0, 4]"
966,"[0, 4]"
967,"[0, 4]"
968,"[1, 4]"
969,"[1, 4]"
970,"[1, 4]"
971,"[1, 4]"
972,"[0, 4]"
973,"[0, 4]"
974,"[0, 4]"
975,"[0, 4]"
976,"[2, 4]"
977,"[1, 4]"
978,"[0, 4]"
979,"[0, 4]"
980,"[1, 4]"
981,"[1, 4]"
982,"[4, 6]"
983,"[0, 4]"
984,"[0, 4]"
985,"[0, 4]"
986,"[0, 4]"
987,"[0, 4]"
988,"[2, 3]"
989,"[1, 4]"
990,"[1, 4]"
991,"[0, 4]"
992,"[0, 4]"
993,"[0, 4]"
994,"[1, 4]"
995,"[0, 4]"
996,"[0, 4]"
997,"[2, 4]"
998,"[0, 4]"
999,"[0, 4]"
1000,"[0, 4]"
1005,"[1, 4]"
1006,"[0, 4]"
1007,"[0, 4]"
1008,"[3, 4]"
1009,"[3, 4]"
1010,"[0, 4]"
1011,"[1, 4]"
1012,"[1, 4]"
1013,"[0, 4]"
1014,"[1, 4]"
1015,"[1, 4]"
1016,"[1, 4]"
1017,"[1, 4]"
1018,"[0, 4]"
1019,"[0, 4]"
1020,"[1, 4]"
1021,"[0, 4]"
1022,"[3, 4]"
1023,"[2, 4]"
